 ,X,Y,r,u,v,h,k,l,v_rounded,u_rounded,n,lambda_exp,lambda_the,lambda_error
1,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,
2,-2.475e-05,0.01235025,0.012350274799574299,0.005300990096065643,-2.645194057936756,0.0,-5.0,1.0,-2.5,0.0,26.0,5.575754743122114e-11,3.092307692307693e-11,80.31047676763052
3,0.00373725,0.00710325,0.008026406302013374,-1.7483122869437122,-3.322951167899638,-3.0,-7.0,2.0,-3.5,-1.5,62.0,2.6277972849486243e-11,2.593548387096774e-11,1.3205420813524327
4,0.00839025,0.00621225,0.010439748326707882,-2.4221866737158333,-1.7934184516303069,-5.0,-2.0,2.0,-2.0,-2.5,33.0,4.407546629895836e-11,4.872727272727273e-11,9.54661767004814
5,0.00947925,-2.475e-05,0.009479282310649895,-3.2604994379354606,0.008513053362755771,-7.0,0.0,2.0,0.0,-3.5,53.0,3.238253999420891e-11,3.033962264150944e-11,6.73349624956915
6,0.00561825,-0.00735075,0.009251932696739639,-2.0203066773960896,2.643308736505016,-2.0,5.0,1.0,2.5,-2.0,30.0,4.22537066591453e-11,2.6799999999999997e-11,57.663084549049636
7,0.00037125,-0.01002375,0.010030622643933925,-0.1152067436423746,3.110582078344114,0.0,3.0,1.0,3.0,0.0,10.0,7.776562075898009e-11,8.039999999999999e-11,3.2765910957958986
8,-0.00923175,-0.00735075,0.011800793770971511,2.1419016147873373,1.705481982819944,2.0,3.0,1.0,1.5,2.0,14.0,7.371812260791337e-11,5.742857142857143e-11,28.364890113281977
9,-0.01299375,-0.00032175,0.01299773296098208,2.546081434771925,0.06304582600387623,5.0,0.0,2.0,0.0,2.5,29.0,5.4565416846736586e-11,5.544827586206898e-11,1.5922208609850326
10,-0.00883575,0.00413325,0.009754703154120067,2.8844438299604165,-1.3493056571523516,3.0,-3.0,1.0,-1.5,3.0,19.0,5.526168712395782e-11,4.2315789473684204e-11,30.59353922328343
11,-0.00814275,0.01056825,0.01334137495256767,1.5251793942852137,-1.9794881500297452,3.0,-2.0,2.0,-2.0,1.5,17.0,7.24479356754536e-11,9.458823529411764e-11,23.40703317893587
12,0.00274725,0.01898325,0.01918101048237553,-0.28186134170289234,-1.9476364782533193,-1.0,-2.0,2.0,-2.0,-0.5,9.0,1.2140832202214355e-10,1.7866666666666667e-10,32.04758095775548
13,0.01215225,0.01195425,0.017046444588975144,-1.5079876368265828,-1.4834175734974324,-3.0,-3.0,2.0,-1.5,-1.5,22.0,7.326057451360982e-11,7.309090909090909e-11,0.23212930966516862
14,0.01779525,0.00591525,0.018752629285649518,-1.8926767355762737,-0.6291373293501106,-2.0,-1.0,1.0,-0.5,-2.0,6.0,1.4711307590369655e-10,1.3400000000000003e-10,9.785877540072025
15,0.01482525,-0.00200475,0.014960182489695772,-2.2846058529694497,0.3089366846252511,-5.0,1.0,2.0,0.5,-2.5,30.0,5.841351753871674e-11,5.3599999999999995e-11,8.980443169247668
16,0.01066725,-0.01022175,0.014774112346432187,-1.6788952447814711,1.608778970057419,-3.0,3.0,2.0,1.5,-1.5,22.0,6.772080697363757e-11,7.309090909090909e-11,7.347154638058057
17,0.00621225,-0.01705275,0.018149058725592353,-0.6963351162196151,1.9114537652402979,-1.0,2.0,2.0,2.0,-0.5,9.0,1.182265465760582e-10,1.7866666666666667e-10,33.82842542384803
18,-0.00180675,-0.01626075,0.016360817098329778,0.23984006492481744,2.1585605843233573,0.0,2.0,1.0,2.0,0.0,5.0,1.5038013864198567e-10,1.608e-10,6.480013282347222
19,-0.01259775,-0.01348875,0.018456697473410565,1.3744448601151338,1.471655105624259,3.0,3.0,2.0,1.5,1.5,22.0,7.624121760074907e-11,7.309090909090909e-11,4.310123583114396
20,-0.02239875,-0.00834075,0.023901299381518987,1.6349837895018464,0.6088282177482014,3.0,1.0,2.0,0.5,1.5,14.0,1.0685499921351337e-10,1.1485714285714286e-10,6.967040485747071
21,-0.02101275,0.00245025,0.02115512674566144,1.8483995072629142,-0.2155377517303045,2.0,0.0,1.0,0.0,2.0,5.0,1.7019852430376364e-10,1.608e-10,5.844853422738581
22,-0.01527075,0.01482525,0.021283417092304514,1.3307656079355183,-1.2919426242356167,3.0,-3.0,2.0,-1.5,1.5,22.0,8.134870405145451e-11,7.309090909090909e-11,11.297978179850695
23,-0.00784575,0.02353725,0.02481043995226606,0.541539761586084,-1.6246192847582517,1.0,-3.0,2.0,-1.5,0.5,14.0,1.0835506315218775e-10,1.1485714285714286e-10,5.6610146684932525
