 ,X,Y,r,u,v,h,k,l,v_rounded,u_rounded,n,lambda_exp,lambda_the,lambda_error
1,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,
2,-0.007244994999999999,0.022405504999999996,0.0235477516305708,0.560781285203628,-1.7342438317122806,1.0,-3.0,2.0,-1.5,0.5,14.0,1.4449606740917e-10,1.6057142857142859e-10,10.011345919556051
3,0.00014112200000000302,0.016528380999999995,0.016528983450292543,-0.01927749315105958,-2.257803542506458,0.0,-5.0,1.0,-2.5,0.0,26.0,8.926561504836445e-11,4.323076923076924e-11,106.48629815457966
4,0.007447818999999996,0.022087825,0.023309698005066173,-0.5855671772848499,-1.7366030696519001,-1.0,-3.0,2.0,-1.5,-0.5,14.0,1.438880885544725e-10,1.6057142857142859e-10,10.389980437606107
5,0.020552222000000002,8.831399999999849e-05,0.020552411744120935,-1.9678330405834543,-0.008455884095942725,-2.0,0.0,1.0,0.0,-2.0,5.0,2.2772364753069735e-10,2.248e-10,1.3005549513778296
6,0.017851922,-0.008806793999999998,0.019906047815990997,-1.7987000780521287,0.8873431698384643,-2.0,1.0,1.0,1.0,-2.0,6.0,2.0474913329588114e-10,1.8733333333333338e-10,9.296690371466768
7,0.015945828000000002,-0.01595465,0.02255704517945744,-1.3190233276096275,1.3197530748385684,-3.0,3.0,2.0,1.5,-1.5,22.0,1.1319828415493576e-10,1.0218181818181817e-10,10.781238941663126
8,0.010068699999999996,-0.019925681,0.022325131197907012,-0.846371701435682,1.6749463714515922,-1.0,3.0,1.0,1.5,-1.0,11.0,1.593730025448097e-10,1.021818181818182e-10,55.9700202840664
9,6.17029999999977e-05,-0.026120488,0.02612056087870919,-0.004080575777770111,1.7274140744589215,0.0,3.0,1.0,1.5,0.0,10.0,1.78077049976143e-10,1.124e-10,58.431539124682395
10,-0.010183557000000001,-0.020163942,0.02258958587826729,0.8404896042269449,1.664210612385738,1.0,3.0,1.0,1.5,1.0,11.0,1.6018578438987265e-10,1.021818181818182e-10,56.76544735663691
11,-0.016457785,-0.016113491,0.023032656801014205,1.3180547444627193,1.2904812684335911,3.0,3.0,2.0,1.5,1.5,22.0,1.1420887469626941e-10,1.0218181818181817e-10,11.770251037274353
12,-0.0184433,-0.009124477999999998,0.02057696317881927,1.7625606234253182,0.8719939290750894,2.0,1.0,1.0,1.0,2.0,6.0,2.0799855076276303e-10,1.8733333333333338e-10,11.031254855567422
13,-0.021381863,0.00024715600000000266,0.021383291407992014,1.9228600201412986,-0.02222661286053736,2.0,0.0,1.0,0.0,2.0,5.0,2.319156909732851e-10,2.248e-10,3.1653429596464036
14,-0.025829417,0.009221682999999998,0.027426232331699846,1.588508436036441,-0.5671332512055473,3.0,-1.0,2.0,-0.5,1.5,14.0,1.5319837823571595e-10,1.6057142857142859e-10,4.591757326511426
15,0.025079194000000003,0.008745161,0.02656019225467988,-1.6176809342907246,-0.5640883122879788,-3.0,-1.0,2.0,-0.5,-1.5,14.0,1.5143459886279288e-10,1.6057142857142859e-10,5.690196437762452
