 ,X,Y,r,u,v,h,k,l,v_rounded,u_rounded,n,lambda_exp,lambda_the,lambda_error
1,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,
2,-0.00537075,0.00532125,0.007560466726664432,2.810405540613707,-2.7845031854006774,3.0,-3.0,1.0,-3.0,3.0,19.0,6.094265946433396e-11,5.705263157894736e-11,6.818314559256956
3,-0.00111375,0.00621225,0.006311298529225186,0.8208419712771233,-4.578474106456844,1.0,-9.0,1.0,-4.5,1.0,83.0,2.5008544164781796e-11,1.3060240963855422e-11,91.48608539454696
4,0.00126225,0.00641025,0.0065333437170410685,-0.8708655528344893,-4.422630944786917,-1.0,-9.0,1.0,-4.5,-1.0,83.0,2.577011051139727e-11,1.3060240963855422e-11,97.31726683080934
5,0.00571725,0.00581625,0.00815571649979326,-2.5959928077931567,-2.6409450642051597,-5.0,-5.0,2.0,-2.5,-2.5,54.0,3.8456559555766116e-11,4.014814814814814e-11,4.213366420139729
6,0.00670725,0.00126225,0.006824989203288163,-4.258584220926799,-0.8014309788460027,-9.0,-1.0,2.0,-1.0,-4.5,86.0,2.6283955535138378e-11,2.5209302325581395e-11,4.262923248242647
7,0.00670725,-0.00121275,0.0068160080050569186,-4.269246481771714,0.7719301756709004,-9.0,1.0,2.0,1.0,-4.5,86.0,2.6254428991313047e-11,2.5209302325581395e-11,4.1457976592676244
8,0.00561825,-0.00556875,0.007910480998333793,-2.7007058706978544,2.6769111053172567,-5.0,5.0,2.0,2.5,-2.5,54.0,3.751736764908279e-11,4.014814814814814e-11,6.552682054867563
9,0.00116325,-0.00616275,0.006271573815638304,-0.8677373963636555,4.597161950947877,-1.0,9.0,1.0,4.5,-1.0,83.0,2.487121894914894e-11,1.3060240963855422e-11,90.43461003499648
10,-0.0011750689999999995,-0.006066490000000002,0.006179246562070575,0.9017891886450331,4.655637324296029,1.0,9.0,1.0,4.5,1.0,83.0,2.455079321838748e-11,1.3060240963855422e-11,87.98116578654619
11,-0.01097504,-8.127100000000064e-05,0.01097534090482118,2.8963472012877753,0.02144766974843469,3.0,0.0,1.0,0.0,3.0,10.0,1.1186982854612713e-10,1.0839999999999998e-10,3.2009488432907274
12,-0.015250197,0.0021549629999999998,0.01540170036295272,2.2381488978693396,-0.31626660713951465,2.0,-1.0,1.0,-0.5,2.0,6.0,1.7904272744599672e-10,1.806666666666667e-10,0.8988593472342985
13,-0.015118653000000001,-0.0021201949999999996,0.015266594098633592,2.251817389574521,0.315788183662192,5.0,1.0,2.0,0.5,2.5,30.0,7.967312730570641e-11,7.226666666666667e-11,10.248792397195214
14,-0.011172356,0.011034131,0.01570266173347363,1.5875612690958396,-1.5679198741724438,3.0,-3.0,2.0,-1.5,1.5,22.0,9.451782227784308e-11,9.854545454545454e-11,4.087080714365876
15,-0.013211276000000001,0.012875737000000002,0.018447829597037835,1.4424938540374583,-1.4058575029923457,3.0,-3.0,2.0,-1.5,1.5,22.0,1.0276893445096188e-10,9.854545454545454e-11,4.285819092304495
16,-0.00012272299999999814,0.011757622000000002,0.011758262457931998,0.028655591181679384,-2.7453827668874187,0.0,-5.0,1.0,-2.5,0.0,26.0,7.275550569188022e-11,4.1692307692307696e-11,74.50582546022927
