 ,Area,Mean,Min,Max,X,Y
1,0.000,65535,65535,65535,29898.000,26037.000
2,0.000,24398,24398,24398,19671.561,43338.906
3,0.000,36881,36881,36881,36588.153,41750.495
4,0.000,38796,38796,38796,43338.906,33887.850
5,0.000,35108,35108,35108,44053.689,20465.767
6,0.000,35675,35675,35675,38573.667,12126.603
7,0.000,33477,33477,33477,23166.069,7996.732
8,0.000,17164,17164,17164,11888.342,14826.906
9,0.000,9362,9362,9362,14191.540,24595.639
10,0.000,15249,15249,15249,9823.406,34126.111
11,0.000,10000,10000,10000,18083.150,55093.156
12,0.000,13546,13546,13546,37144.097,52948.800
13,0.000,13334,13334,13334,50169.078,49057.189
14,0.000,11631,11631,11631,52710.539,35317.422
15,0.000,9362,9362,9362,53266.484,20306.928
16,0.000,13121,13121,13121,52710.539,7361.367
17,0.000,16596,16596,16596,40797.444,1722.503
