 ,Area,Mean,Min,Max,X,Y
1,0.000,65535,65535,65535,29056.500,26037.000
2,0.000,10691,10691,10691,28010.725,36270.469
3,0.000,15342,15342,15342,31346.392,36270.469
4,0.000,16127,16127,16127,33967.272,34126.114
5,0.000,21986,21986,21986,38097.144,31822.917
6,0.000,13590,13590,13590,38176.564,27137.100
7,0.000,17274,17274,17274,39209.033,23960.275
8,0.000,10691,10691,10691,37858.883,20862.871
9,0.000,22711,22711,22711,36111.628,15621.111
10,0.000,20717,20717,20717,30472.767,14350.381
11,0.000,13530,13530,13530,26501.733,12841.389
12,0.000,14496,14496,14496,22689.544,14747.483
13,0.000,14738,14738,14738,16256.475,17686.047
14,0.000,13046,13046,13046,15700.532,29043.194
15,0.000,13348,13348,13348,15938.793,24675.061
16,0.000,12140,12140,12140,18559.674,32378.861
17,0.000,20113,20113,20113,22054.181,37144.097
18,0.000,8818,8818,8818,25231.006,42624.119
19,0.000,8939,8939,8939,33252.486,44371.372
20,0.000,11657,11657,11657,38573.667,37700.042
21,0.000,10751,10751,10751,43497.744,29837.400
22,0.000,6342,6342,6342,47389.356,22292.442
23,0.000,10932,10932,10932,42227.017,16018.214
