 ,Area,Mean,Min,Max,X,Y
1,0.000,65535,65535,65535,29106.000,26037.000
2,0.000,50881,50881,50881,12841.389,29360.878
3,0.000,58318,58318,58318,14588.643,34284.956
4,0.000,53417,53417,53417,19195.039,36985.256
5,0.000,65535,65535,65535,24675.061,42068.175
6,0.000,57812,57812,57812,31743.494,40320.922
7,0.000,65248,65248,65248,36905.833,40400.342
8,0.000,61360,61360,61360,40876.867,37064.678
9,0.000,65535,65535,65535,48660.089,32061.178
10,0.000,61024,61024,61024,48580.667,22768.967
11,0.000,58148,58148,58148,48898.350,15462.269
12,0.000,52740,52740,52740,44212.534,9982.247
13,0.000,61866,61866,61866,36349.889,1245.980
14,0.000,61530,61530,61530,24833.903,4184.542
15,0.000,58994,58994,58994,17686.047,6170.058
16,0.000,56289,56289,56289,13953.278,12523.707
17,0.000,62206,62206,62206,8552.676,20624.608
18,0.000,45810,45810,45810,1563.663,27851.886
19,0.000,36510,36510,36510,3310.916,41194.550
20,0.000,56289,56289,56289,16018.214,45642.103
21,0.000,63895,63895,63895,30075.661,49374.872
22,0.000,42934,42934,42934,50804.445,41512.231
23,0.000,44117,44117,44117,38176.567,8711.517
24,0.000,34481,34481,34481,33808.434,10061.668
25,0.000,42428,42428,42428,30631.605,6567.161
26,0.000,40739,40739,40739,16415.317,22610.125
27,0.000,40229,40229,40229,41115.128,29519.720
