 ,Area,Mean,Min,Max,X,Y
1,0.000,65535,65535,65535,28314.000,25839.000
2,0.000,22869,22869,22869,22943.250,31160.250
3,0.000,25798,25798,25798,27200.250,32051.250
4,0.000,26248,26248,26248,29576.250,32249.250
5,0.000,9878,9878,9878,34031.250,31655.250
6,0.000,18647,18647,18647,35021.250,27101.250
7,0.000,12606,12606,12606,35021.250,24626.250
8,0.000,24506,24506,24506,33932.250,20270.250
9,0.000,17514,17514,17514,29477.250,19676.250
10,0.000,9861,9861,9861,27138.931,19772.510
11,0.000,28912,28912,28912,17338.960,25757.729
12,0.000,7485,7485,7485,13063.803,27993.963
13,0.000,6741,6741,6741,13195.347,23718.805
14,0.000,11821,11821,11821,17141.644,36873.131
15,0.000,9433,9433,9433,15102.724,38714.737
16,0.000,45108,45108,45108,28191.277,37596.622
17,0.000,11646,11646,11646,25889.270,41740.234
18,0.000,9581,9581,9581,28322.822,46804.649
19,0.000,12753,12753,12753,30624.826,42003.318
20,0.000,4466,4466,4466,22798.004,38977.824
21,0.000,6320,6320,6320,20561.769,41214.061
22,0.000,14396,14396,14396,36281.186,41740.234
23,0.000,10126,10126,10126,34308.038,39701.314
24,0.000,28246,28246,28246,40293.257,25757.729
25,0.000,46144,46144,46144,28257.050,14576.551
26,0.000,15997,15997,15997,30295.970,10432.938
27,0.000,17516,17516,17516,26020.812,10564.482
28,0.000,27303,27303,27303,28191.277,5960.468
29,0.000,14374,14374,14374,44699.956,28191.277
30,0.000,12877,12877,12877,44568.411,23324.177
31,0.000,15172,15172,15172,35820.785,10498.710
32,0.000,10655,10655,10655,33913.410,12603.402
33,0.000,13814,13814,13814,39635.542,14313.464
34,0.000,21704,21704,21704,23192.632,20561.769
35,0.000,10455,10455,10455,22469.145,24705.382
36,0.000,8975,8975,8975,22403.376,27204.703
37,0.000,11081,11081,11081,13589.977,18457.077
38,0.000,7465,7465,7465,8394.018,25757.729
39,0.000,8724,8724,8724,42200.632,31874.489
